x,y,ground_truth
-43.573795,14.499477,Social
-15.511951,-14.95621,Seminar
-30.429281,-2.3456988,Procedure
-26.00571,27.385857,Other
-6.0704308,-14.771857,Seminar
-24.87956,26.420444,Seminar
-18.544722,-20.89394,Seminar
-15.72164,12.709491,Deliberation
-16.55871,-13.598567,Procedure
-24.790712,21.408308,Social
-30.429281,-2.3456988,Procedure
-15.872986,-14.498653,Procedure
-21.496841,23.422068,Other
-5.4772,-30.40034,Other
-22.722687,23.618784,Other
-31.68648,-15.429788,Procedure
-21.946392,-12.968828,Procedure
-19.397457,-19.448116,Social
4.2603316,-21.55634,Seminar
-17.566526,9.260702,Social
-17.970911,-23.563091,Social
-18.124424,-20.985823,Social
-18.152481,-22.723372,Social
-19.052694,-20.991104,Seminar
-13.449674,-23.642927,Seminar
-28.399029,-0.2966317,UX
-17.15765,-8.875194,UX
-29.860487,-6.23615,UX
-31.483528,-14.736707,UX
-25.02834,3.375914,UX
-37.92642,19.111454,Other
-24.786613,26.175379,Seminar
-43.328815,15.371308,Social
-38.040924,18.288519,Seminar
-27.99466,-0.36264476,Deliberation
21.133486,-25.13649,Deliberation
-15.942328,16.362326,Deliberation
-17.045835,14.319007,Deliberation
-16.737656,-12.875514,Deliberation
5.0651126,-14.218234,Seminar
-25.222116,0.3204516,UX
-17.949604,-26.48029,UX
-15.469768,12.174118,Deliberation
-30.071953,-2.540816,Deliberation
-22.34147,-15.177887,Deliberation
-24.241669,3.0086148,Deliberation
-45.098057,13.9288025,Social
-45.013866,13.999768,Social
6.2441516,3.2114084,Seminar
-39.488266,13.03093,Social
-39.453274,12.651977,Procedure
-17.24773,14.30434,Deliberation
-12.926318,-22.290401,Seminar
-19.461843,-19.169693,Seminar
-0.4149379,5.778049,Seminar
-12.7474375,-23.823011,Seminar
-24.802624,-0.08824201,Deliberation
-23.578243,3.1506312,Deliberation
-23.25246,2.795198,Procedure
-13.449674,-23.642927,Deliberation
-3.5771732,4.9572744,Deliberation
-26.045057,26.405714,Seminar
-22.722687,23.618784,Seminar
-8.567097,-34.253826,Seminar
-8.567097,-34.253826,Seminar
-8.567097,-34.253826,Seminar
-27.456144,25.476248,Seminar
-37.605927,16.167114,Social
-41.269604,15.163704,Social
-1.8430529,5.481307,Social
-38.177834,15.924817,Social
-40.672848,16.464907,Social
-40.70983,15.418956,Social
-40.71481,17.166143,Seminar
-18.330153,-3.714318,UX
7.790895,2.6330523,UX
-32.213524,-13.353356,UX
-32.456566,-13.454784,UX
-22.5837,-14.289158,Social
-8.81757,25.376587,Social
-17.382168,-2.8710666,UX
-29.633066,-5.7439985,UX
-22.702902,-13.692692,UX
-6.8659644,17.155197,Seminar
-6.841061,17.159195,Seminar
-7.6129813,18.159466,Seminar
-9.775877,-9.268462,Seminar
-38.23686,15.025308,Social
